seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
217,34210.847553594,164284227496519,164284227517569,0,-1,TAKE_LIQUIDITY,0.0,BUY
218,34210.868110685,164284247514255,164284247527119,0,-1,TAKE_LIQUIDITY,0.0,BUY
219,34210.90226879,164284267539705,164284267558560,0,-1,TAKE_LIQUIDITY,0.0,BUY
220,34210.908120663,164284287557660,164284287571266,0,-1,TAKE_LIQUIDITY,0.0,BUY
221,34211.00434466,164284307590274,164284307615912,0,-1,TAKE_LIQUIDITY,0.0,BUY
222,34211.146132928,164284327624009,164284327640180,0,-1,TAKE_LIQUIDITY,0.0,BUY
223,34211.146282398,164284347641624,164284347655040,0,-1,TAKE_LIQUIDITY,0.0,BUY
224,34211.226849977,164284367664289,164284367680099,0,-1,TAKE_LIQUIDITY,0.0,BUY
225,34211.33328328,164284387679520,164284387691332,0,-1,TAKE_LIQUIDITY,0.0,BUY
226,34211.334948467,164284407704930,164284407722212,0,-1,TAKE_LIQUIDITY,0.0,BUY
227,34211.334948467,164284427729187,164284427747672,0,-1,TAKE_LIQUIDITY,0.0,BUY
228,34211.388089305,164284447747564,164284447765878,0,-1,TAKE_LIQUIDITY,0.0,BUY
229,34211.388104371,164284467762073,164284467772944,0,-1,TAKE_LIQUIDITY,0.0,BUY
230,34211.439240606,164284487786491,164284487804715,0,-1,TAKE_LIQUIDITY,0.0,BUY
231,34211.506656257,164284507810919,164284507829544,0,-1,TAKE_LIQUIDITY,0.0,BUY
232,34211.683403235,164284527825559,164284527836259,0,-1,TAKE_LIQUIDITY,0.0,BUY
233,34212.052057667,164284547848794,164284547865386,0,-1,TAKE_LIQUIDITY,0.0,BUY
234,34212.053609867,164284567872170,164284567888231,0,-1,TAKE_LIQUIDITY,0.0,BUY
235,34212.057109841,164284587900015,164284587922216,0,-1,TAKE_LIQUIDITY,0.0,BUY
236,34212.05824151,164284607925885,164284607945602,0,-1,TAKE_LIQUIDITY,0.0,BUY
237,34212.08008559,164284627942479,164284627954030,0,-1,TAKE_LIQUIDITY,0.0,BUY
238,34212.080208915,164284647962989,164284647983488,0,-1,TAKE_LIQUIDITY,0.0,BUY
239,34212.080287308,164284667980554,164284667993549,0,-1,TAKE_LIQUIDITY,0.0,BUY
240,34212.081038785,164284688007156,164284688028396,0,-1,TAKE_LIQUIDITY,0.0,BUY
241,34212.08134726,164284708033698,164284708052944,0,-1,TAKE_LIQUIDITY,0.0,BUY
242,34212.095970517,164284728053838,164284728067233,0,-1,TAKE_LIQUIDITY,0.0,BUY
243,34212.267055429,164284748076373,164284748093264,0,-1,TAKE_LIQUIDITY,0.0,BUY
244,34212.555647156,164284768096613,164284768110168,0,-1,TAKE_LIQUIDITY,0.0,BUY
245,34212.557195301,164284788120971,164284788138884,0,-1,TAKE_LIQUIDITY,0.0,BUY
246,34212.582853636,164284808137173,164284808148575,0,-1,TAKE_LIQUIDITY,0.0,BUY
247,34212.607269431,164284828158415,164284828174425,0,-1,TAKE_LIQUIDITY,0.0,BUY
248,34213.897096657,164284848179297,164284848190988,0,-1,TAKE_LIQUIDITY,0.0,BUY
249,34214.181766435,164284868201029,164284868216338,0,-1,TAKE_LIQUIDITY,0.0,BUY
250,34214.181907793,164284888219105,164284888231669,0,-1,TAKE_LIQUIDITY,0.0,BUY
251,34214.313574215,164284908242582,164284908260365,0,-1,TAKE_LIQUIDITY,0.0,BUY
252,34214.313671934,164284928267420,164284928286216,0,-1,TAKE_LIQUIDITY,0.0,BUY
253,34214.313672671,164284948283954,164284948294974,0,-1,TAKE_LIQUIDITY,0.0,BUY
254,34215.089261118,164284968308872,164284968326766,0,-1,TAKE_LIQUIDITY,0.0,BUY
255,34215.204460371,164284988327459,164284988339823,0,-1,TAKE_LIQUIDITY,0.0,BUY
256,34215.204460371,164285008351587,164285008374119,0,-1,TAKE_LIQUIDITY,0.0,BUY
257,34215.204460371,164285028381405,164285028400461,0,-1,TAKE_LIQUIDITY,0.0,BUY
258,34215.222056281,164285048398820,164285048414720,0,-1,TAKE_LIQUIDITY,0.0,BUY
259,34215.222997296,164285068422065,164285068437334,0,-1,TAKE_LIQUIDITY,0.0,BUY
260,34215.223443124,164285088438789,164285088450551,0,-1,TAKE_LIQUIDITY,0.0,BUY
261,34217.169719861,164285108465321,164285108483976,0,-1,TAKE_LIQUIDITY,0.0,BUY
262,34217.169871376,164285128487725,164285128505468,0,-1,TAKE_LIQUIDITY,0.0,BUY
